Отчет о продажах за период;;;;;;;
с 01.09.16 по 30.09.16;;;;;;;
По всем поставщикам, по фирме: Алекс. Суммы включают НДС.;;;;;;;
;;;;;;;
Код;Наименование;Цена;Кол-во;Сумма;Себестоимость;Эффективность;
;;;;;;Сумма;Процент
;ZОтчет 2/1541;300,00 руб.;2,00 шт.;600,00 руб.;270,51 руб.;329,49 руб.;121,8%
;ZОтчет 8/1482/9100;300,00 руб.;1,00 шт.;300,00 руб.;164,41 руб.;135,59 руб.;82,47%
;ZОтчет 12/1507;300,00 руб.;1,00 шт.;300,00 руб.;168,82 руб.;131,18 руб.;77,7%
;ZОтчет 15/1510;300,00 руб.;1,00 шт.;300,00 руб.;162,01 руб.;137,99 руб.;85,17%
179023;"Калькулятор""Citizen SDC-444S"" 12разр. дв.пит.";700,00 руб.;8,00 шт.;5 600,00 руб.;3 341,25 руб.;2 258,75 руб.;67,6%
;ZОтчет 10/1121;700,00 руб.;1,00 шт.;700,00 руб.;425,22 руб.;274,78 руб.;64,62%
;ZОтчет 8/1484/10020;700,00 руб.;1,00 шт.;700,00 руб.;425,22 руб.;274,78 руб.;64,62%
;ZОтчет 18/1235;700,00 руб.;1,00 шт.;700,00 руб.;423,52 руб.;276,48 руб.;65,28%
;ZОтчет 18/1242;700,00 руб.;1,00 шт.;700,00 руб.;425,23 руб.;274,77 руб.;64,62%
;ZОтчет 2/1556;700,00 руб.;1,00 шт.;700,00 руб.;425,22 руб.;274,78 руб.;64,62%
;ZОтчет 2/1561;700,00 руб.;1,00 шт.;700,00 руб.;425,22 руб.;274,78 руб.;64,62%
;ZОтчет 12/1528;700,00 руб.;1,00 шт.;700,00 руб.;366,39 руб.;333,61 руб.;91,05%
;ZОтчет 10/1137;700,00 руб.;1,00 шт.;700,00 руб.;425,23 руб.;274,77 руб.;64,62%
179024;"Калькулятор""Citizen SDC-554S"" 14разр.,дв.пит.";786,67 руб.;3,00 шт.;2 360,00 руб.;1 459,91 руб.;900,09 руб.;61,65%
;ZОтчет 9/2945;760,00 руб.;1,00 шт.;760,00 руб.;484,62 руб.;275,38 руб.;56,82%
;ZОтчет 2/1568;800,00 руб.;2,00 шт.;1 600,00 руб.;975,29 руб.;624,71 руб.;64,05%
85314;"Калькулятор""Citizen SDC-620 II"" 12разр.";610,00 руб.;6,00 шт.;3 660,00 руб.;2 080,39 руб.;1 579,61 руб.;75,93%
;ZОтчет 16/1508;535,50 руб.;1,00 шт.;535,50 руб.;436,16 руб.;99,34 руб.;22,78%
;ZОтчет 2/1556;630,00 руб.;1,00 шт.;630,00 руб.;316,47 руб.;313,53 руб.;99,07%
;ZОтчет 20/1559;630,00 руб.;1,00 шт.;630,00 руб.;307,37 руб.;322,63 руб.;104,96%
;ZОтчет 2/1558;630,00 руб.;1,00 шт.;630,00 руб.;316,47 руб.;313,53 руб.;99,07%
;ZОтчет 51#00000000000003139;604,50 руб.;1,00 шт.;604,50 руб.;387,45 руб.;217,05 руб.;56,02%
;ZОтчет 10/1134;630,00 руб.;1,00 шт.;630,00 руб.;316,47 руб.;313,53 руб.;99,07%
84576;"Калькулятор""Citizen SDC-640 II"" 14разр.";800,00 руб.;4,00 шт.;3 200,00 руб.;1 774,20 руб.;1 425,80 руб.;80,36%
