Отчет о продажах за период;;;;;;;
с 16.09.16 по 28.10.16;;;;;;;
По всем поставщикам, по фирме: Алекс. Суммы включают НДС.;;;;;;;
;;;;;;;
Код;Наименование;Цена;Кол-во;Сумма;Себестоимость;Эффективность;
;;;;;;Сумма;Процент
Возврат товара;;;;-1 480,00 руб.;-879,51 руб.;-600,49 руб.;68,28%
;ZОтчет 2/1574;380,00 руб.;1,00 шт.;380,00 руб.;238,97 руб.;141,03 руб.;59,02%
;ZОтчет 2/1581;400,00 руб.;1,00 шт.;400,00 руб.;238,98 руб.;161,02 руб.;67,38%
;ZОтчет 2/1582;400,00 руб.;1,00 шт.;400,00 руб.;238,97 руб.;161,03 руб.;67,39%
;ZОтчет 9/2981;380,00 руб.;1,00 шт.;380,00 руб.;238,97 руб.;141,03 руб.;59,02%
;ZОтчет 5/1545/16025;400,00 руб.;1,00 шт.;400,00 руб.;238,98 руб.;161,02 руб.;67,38%
;ZОтчет 19/911;340,00 руб.;1,00 шт.;340,00 руб.;196,27 руб.;143,73 руб.;73,23%
;ZОтчет 2/1589;380,00 руб.;1,00 шт.;380,00 руб.;238,98 руб.;141,02 руб.;59,01%
;ZОтчет 2/1593;400,00 руб.;1,00 шт.;400,00 руб.;238,97 руб.;161,03 руб.;67,39%
;ZОтчет 18/1283;400,00 руб.;1,00 шт.;400,00 руб.;201,44 руб.;198,56 руб.;98,57%
;ZОтчет 18/1284;400,00 руб.;1,00 шт.;400,00 руб.;238,97 руб.;161,03 руб.;67,39%
;ZОтчет 15/1559;400,00 руб.;1,00 шт.;400,00 руб.;238,98 руб.;161,02 руб.;67,38%
85059;"Калькулятор""Citizen SDC-810BN"" 10разр.";412,13 руб.;8,00 шт.;3 297,00 руб.;1 805,34 руб.;1 491,66 руб.;82,62%
;ZОтчет 9/2955;420,00 руб.;1,00 шт.;420,00 руб.;209,24 руб.;210,76 руб.;100,73%
;ZОтчет 7/1531/10045;420,00 руб.;1,00 шт.;420,00 руб.;203,79 руб.;216,21 руб.;106,09%
;ZОтчет 19/889;399,00 руб.;1,00 шт.;399,00 руб.;197,03 руб.;201,97 руб.;102,51%
;ZОтчет 5/1527/15699;420,00 руб.;1,00 шт.;420,00 руб.;203,79 руб.;216,21 руб.;106,09%
;ZОтчет 15/1539;399,00 руб.;1,00 шт.;399,00 руб.;289,23 руб.;109,77 руб.;37,95%
;ZОтчет 9/2983;399,00 руб.;1,00 шт.;399,00 руб.;203,79 руб.;195,21 руб.;95,79%
;ZОтчет 18/1277;420,00 руб.;1,00 шт.;420,00 руб.;209,24 руб.;210,76 руб.;100,73%
;ZОтчет 15/1551;420,00 руб.;1,00 шт.;420,00 руб.;289,23 руб.;130,77 руб.;45,21%
85061;"Калькулятор""Citizen SDC-812BN"" 12разр.";479,17 руб.;6,00 шт.;2 875,00 руб.;1 816,40 руб.;1 058,60 руб.;58,28%
;ZОтчет 2/1557;475,00 руб.;1,00 шт.;475,00 руб.;334,36 руб.;140,64 руб.;42,06%
;ZОтчет 8/1502/10059;475,00 руб.;1,00 шт.;475,00 руб.;334,35 руб.;140,65 руб.;42,07%
;ZОтчет 15/1530;500,00 руб.;1,00 шт.;500,00 руб.;239,49 руб.;260,51 руб.;108,78%
;ZОтчет 10/1152;500,00 руб.;1,00 шт.;500,00 руб.;334,36 руб.;165,64 руб.;49,54%
;ZОтчет 5/1552/16149;425,00 руб.;1,00 шт.;425,00 руб.;334,35 руб.;90,65 руб.;27,11%
;ZОтчет 15/1559;500,00 руб.;1,00 шт.;500,00 руб.;239,49 руб.;260,51 руб.;108,78%
114364;"Калькулятор""Citizen SDC-888TllGE""";950,00 руб.;1,00 шт.;950,00 руб.;825,93 руб.;124,07 руб.;15,02%
;ZОтчет 2/1579;950,00 руб.;1,00 шт.;950,00 руб.;825,93 руб.;124,07 руб.;15,02%
186505;"Калькулятор""Citizen SDC-888XBL"" 12разр.бухгалтерский";950,00 руб.;2,00 шт.;1 900,00 руб.;1 200,06 руб.;699,94 руб.;58,33%
;ZОтчет 4/1557;950,00 руб.;1,00 шт.;950,00 руб.;600,03 руб.;349,97 руб.;58,33%
