Отчет о продажах за период,,,,,,,
с 01.12.15 по 31.01.16,,,,,,,
"По всем поставщикам, по фирме: Алекс. Суммы включают НДС.",,,,,,,
,,,,,,,
Код,Наименование,Цена,Кол-во,Сумма,Себестоимость,Эффективность,
,,,,,,Сумма,Процент
Возврат товара,,,,"-382,50 руб.","-291,94 руб.","-90,56 руб.","31,02%"
,ZОтчет 3/1239/8481,"330,00 руб.","1,00 шт.","330,00 руб.","197,03 руб.","132,97 руб.","67,49%"
,ZОтчет 2/1285/8569,"330,00 руб.","2,00 шт.","660,00 руб.","394,06 руб.","265,94 руб.","67,49%"
,ZОтчет 16/1254,"280,50 руб.","1,00 шт.","280,50 руб.","185,85 руб.","94,65 руб.","50,93%"
,ZОтчет 10/955,"330,00 руб.","1,00 шт.","330,00 руб.","185,85 руб.","144,15 руб.","77,56%"
,ZОтчет 19/621,"330,00 руб.","1,00 шт.","330,00 руб.","204,97 руб.","125,03 руб.",61%
,ZОтчет 15/1271,"330,00 руб.","1,00 шт.","330,00 руб.","204,97 руб.","125,03 руб.",61%
,ZОтчет 2/1306/8938,"330,00 руб.","2,00 шт.","660,00 руб.","403,58 руб.","256,42 руб.","63,54%"
,ZОтчет 11/1331,"330,00 руб.","1,00 шт.","330,00 руб.","204,97 руб.","125,03 руб.",61%
,ZОтчет 4/1294/9106,"330,00 руб.","1,00 шт.","330,00 руб.","204,97 руб.","125,03 руб.",61%
,ZОтчет 5/1286/9131,"330,00 руб.","1,00 шт.","330,00 руб.","204,97 руб.","125,03 руб.",61%
,ZОтчет 15/1286,"330,00 руб.","1,00 шт.","330,00 руб.","197,03 руб.","132,97 руб.","67,49%"
,ZОтчет 2/1322/9225,"313,50 руб.","1,00 шт.","313,50 руб.","206,55 руб.","106,95 руб.","51,78%"
,ZОтчет 2/1325/9280,"313,50 руб.","2,00 шт.","627,00 руб.","413,10 руб.","213,90 руб.","51,78%"
85061,"Калькулятор""Citizen SDC-812BN"" 12разр.","373,67 руб.","15,00 шт.","5 605,00 руб.","3 351,96 руб.","2 253,04 руб.","67,22%"
,ZОтчет 2/1272/8339,"380,00 руб.","1,00 шт.","380,00 руб.","224,39 руб.","155,61 руб.","69,35%"
,ZОтчет 19/600,"361,00 руб.","1,00 шт.","361,00 руб.","221,06 руб.","139,94 руб.","63,3%"
,ZОтчет 15/1240,"380,00 руб.","1,00 шт.","380,00 руб.","224,39 руб.","155,61 руб.","69,35%"
,ZОтчет 5/1255/8479,"380,00 руб.","1,00 шт.","380,00 руб.","199,20 руб.","180,80 руб.","90,76%"
,ZОтчет 19/607,"380,00 руб.","1,00 шт.","380,00 руб.","199,20 руб.","180,80 руб.","90,76%"
,ZОтчет 3/1242/8539,"380,00 руб.","1,00 шт.","380,00 руб.","224,39 руб.","155,61 руб.","69,35%"
,ZОтчет 15/1251,"380,00 руб.","1,00 шт.","380,00 руб.","224,39 руб.","155,61 руб.","69,35%"
,ZОтчет 2/1292/8709,"361,00 руб.","1,00 шт.","361,00 руб.","224,39 руб.","136,61 руб.","60,88%"
,ZОтчет 15/1273,"380,00 руб.","1,00 шт.","380,00 руб.","224,39 руб.","155,61 руб.","69,35%"
,ZОтчет 2/1312/9049,"380,00 руб.","2,00 шт.","760,00 руб.","470,52 руб.","289,48 руб.","61,52%"
,ZОтчет 12/1280,"380,00 руб.","2,00 шт.","760,00 руб.","448,78 руб.","311,22 руб.","69,35%"
,ZОтчет 10/964,"380,00 руб.","1,00 шт.","380,00 руб.","233,43 руб.","146,57 руб.","62,79%"
,ZОтчет 11/1343,"323,00 руб.","1,00 шт.","323,00 руб.","233,43 руб.","89,57 руб.","38,37%"
22416,"Калькулятор""Citizen SDC-888Tll""","750,00 руб.","1,00 шт.","750,00 руб.","306,16 руб.","443,84 руб.","144,97%"
,ZОтчет 18/977,"750,00 руб.","1,00 шт.","750,00 руб.","306,16 руб.","443,84 руб.","144,97%"
85338,"Калькулятор""Citizen SDC-888XBK"" 12разр.бухгалтерский","803,01 руб.","11,00 шт.","8 833,14 руб.","5 005,28 руб.","3 827,86 руб.","76,48%"
,ZОтчет 19/592,"850,00 руб.","1,00 шт.","850,00 руб.","484,50 руб.","365,50 руб.","75,44%"
