Отчет о продажах за период,,,,,,,
с 01.01.16 по 31.01.16,,,,,,,
"По всем поставщикам, по фирме: Алекс. Суммы включают НДС.",,,,,,,
,,,,,,,
Код,Наименование,Цена,Кол-во,Сумма,Себестоимость,Эффективность,
,,,,,,Сумма,Процент
,Расходная накладная РН16-00439 (27.01.16),"96,66 руб.","1,00 шт.","96,66 руб.","76,86 руб.","19,80 руб.","25,76%"
167683,"Калькулятор""Citizen SDC-011S"" 8разр.,дв.пит.","183,01 руб.","3,00 шт.","549,04 руб.","470,61 руб.","78,43 руб.","16,67%"
,Расходная накладная РН09-00027 (11.01.16),"180,40 руб.","2,00 шт.","360,80 руб.","313,74 руб.","47,06 руб.",15%
,Расходная накладная РН16-00439 (27.01.16),"188,24 руб.","1,00 шт.","188,24 руб.","156,87 руб.","31,37 руб.",20%
179022,"Калькулятор""Citizen SDC-022S"" 10разр.,дв.пит.","191,68 руб.","3,00 шт.","575,04 руб.","500,04 руб.","75,00 руб.",15%
,Расходная накладная РН09-00027 (11.01.16),"191,68 руб.","3,00 шт.","575,04 руб.","500,04 руб.","75,00 руб.",15%
179023,"Калькулятор""Citizen SDC-444S"" 12разр. дв.пит.","500,88 руб.","12,00 шт.","6 010,50 руб.","4 396,68 руб.","1 613,82 руб.","36,71%"
,Расходная накладная РН09-28198 (11.01.16),"439,67 руб.","5,00 шт.","2 198,35 руб.","1 831,95 руб.","366,40 руб.",20%
,Расходная накладная РН16-00222 (20.01.16),"612,00 руб.","1,00 шт.","612,00 руб.","366,39 руб.","245,61 руб.","67,04%"
,Расходная накладная РН16-00142 (20.01.16),"510,03 руб.","5,00 шт.","2 550,15 руб.","1 831,95 руб.","718,20 руб.","39,2%"
,Расходная накладная РН16-00341 (28.01.16),"650,00 руб.","1,00 шт.","650,00 руб.","366,39 руб.","283,61 руб.","77,41%"
179024,"Калькулятор""Citizen SDC-554S"" 14разр.,дв.пит.","499,61 руб.","2,00 шт.","999,22 руб.","858,69 руб.","140,53 руб.","16,37%"
,Расходная накладная РН09-28203 (11.01.16),"499,61 руб.","2,00 шт.","999,22 руб.","858,69 руб.","140,53 руб.","16,37%"
19834,"Калькулятор""Citizen SDC-664S"" 16разр.","650,00 руб.","1,00 шт.","650,00 руб.","439,02 руб.","210,98 руб.","48,06%"
,Расходная накладная РН16-00341 (28.01.16),"650,00 руб.","1,00 шт.","650,00 руб.","439,02 руб.","210,98 руб.","48,06%"
84545,"Калькулятор""Citizen SDC-805BN"" 8разр.","243,33 руб.","4,00 шт.","973,33 руб.","762,53 руб.","210,80 руб.","27,64%"
,Расходная накладная РН09-00027 (11.01.16),"221,11 руб.","3,00 шт.","663,33 руб.","576,81 руб.","86,52 руб.",15%
,Расходная накладная РН16-00341 (28.01.16),"310,00 руб.","1,00 шт.","310,00 руб.","185,72 руб.","124,28 руб.","66,92%"
85059,"Калькулятор""Citizen SDC-810BN"" 10разр.","237,53 руб.","3,00 шт.","712,59 руб.","619,65 руб.","92,94 руб.",15%
,Расходная накладная РН09-00027 (11.01.16),"237,53 руб.","3,00 шт.","712,59 руб.","619,65 руб.","92,94 руб.",15%
